AIRCRAFT TYPES	Description	Wake	Body	Number of seats	ULD / Loose
E145	EMBRAER: EMB-145 / ERJ-145	M	B	0	
E45X	EMBRAER: EMB-145XR / ERJ-145XR 	M		0	
E170	EMBRAER: EMB-170 / EMB-175 / ERJ-170 / ERJ-175	M		0	
E190	EMBRAER: EMB-190 / EMB-195 / ERJ-190 / ERJ-195	M		0	
IPAN	EMBRAER: EMB-200 Ipanema	L		0	
TUCA	EMBRAER: EMB-312 Tucano 	L		0	
E314	EMBRAER: EMB-314 Super Tucano	L		0	
E50P	EMBRAER: EMB-500 Phenom 100 	L		0	
E55P	EMBRAER: EMB-505 Phenom 300	L		0	
P28B	EMBRAER: EMB-710 Carioca	L		0	
P28R	EMBRAER: EMB-711B Corisco	L		0	
P28T	EMBRAER: EMB-711ST Corisco 2 Turbo	L		0	
PA32	EMBRAER: EMB-720 Minuano 	L		0	
P32R	EMBRAER: EMB-721 Sertanejo	L		0	
PA34	EMBRAER: EMB-810 Seneca 	L		0	
PA31	EMBRAER: EMB-820 Navajo 	L		0	
PA25	EMBRAER: PA-25 Pawnee 	L		0	
EN28	Enstrom: 280 Shark 	L		0	
EN48	Enstrom: 480	L		0	
BK17	Eurocopter: BK-117	L		0	
EC25	Eurocopter: EC-225 Super Puma Mk2+ 	M		0	
TIGR	Eurocopter: EC-665 Tiger / Tigre	L		0	
EUFI	Eurofighter: C-16 Typhoon 	M		0	
VP2	Evans: VP-2 Volksplane	L		0	
E200	EXTRA: EA-200 	L		0	
E230	EXTRA: EA-230 	L		0	
E300	EXTRA: EA-300 	L		0	
E400	EXTRA: EA-400 	L		0	
E500	EXTRA: EA-500 	L		0	
A10	Fairchild: A-10 Thunderbolt 2 	M		0	
C119	Fairchild: C-119 Flying Boxcar 	M		0	
C123	Fairchild: C-123 Provider 	M		0	
C82	Fairchild: C-82 Packet 	M		0	
KR34	Fairchild: Challenger 	L		0	
FA62	Fairchild: Cornell 	L		0	
FA11	Fairchild: F-11 Husky 	L		0	
SW4	Fairchild: Merlin 23 	L		0	
SW3	Fairchild: Merlin 3 	L		0	
FA24	Fairchild: UC-61 Argus 	L		0	
J328	Fairchild-Dornier: 328JET 	M	B	0	
FH11	Fairchild-Hiller: FH-1100 	L		0	
F27	Fairchild-Hiller: FH-227	M		0	
UH12	Fairchild-Hiller: OH-23 Raven 	L		0	
FFLY	Fairey: Firefly 	L		0	
GANT	Fairey: Gannet 	M		0	
AS02	FFA: AS-202 Bravo 	L		0	
AS2T	FFA: AS-202-32TP Turbine Bravo 	L		0	
G46	Fiat: G-46 	L		0	
G59	Fiat: G-59	L		0	
FU24	Fletcher: FU-24	L		0	
IA46	FMA: IA-46 Ranquel	L		0	
IA50	FMA: IA-50 Guarani 2 	M		0	
IA51	FMA: IA-51 Tehuelche	L		0	
IA58	FMA: IA-58 Pucar	L		0	
IA63	FMA: IA-63 Pampa 	L		0	
FW90	Focke-Wulf: Fw-190 Replica 	L		0	
FW44	Focke-Wulf: Fw-44 Stieglitz 	L		0	
P149	Focke-Wulf: FWP-149 	L		0	
F100	Fokker: 100	M	C	94	ULD
F50	Fokker: 50	M	C	0	
F60	Fokker: 60	M		0	
F70	Fokker: 70	M	C	70	ULD
D7	Fokker: D-7 Replica	L		0	
D8	Fokker: D-8 Replica	L		0	
DR1	Fokker: Dr-1 Replica 	L		0	
F28	Fokker: F28 Fellowship	M		0	
S11	Fokker: S-11 Instructor 	L		0	
GNAT	Folland: Fo-144 Gnat 	L		0	
TRIM	Ford: 4-AT Tri-Motor 	L		0	
RF10	Fournier: RF-10	L		0	
RF47	Fournier: RF-47	L		0	
RF6	Fournier: RF-6	L		0	
RF9	Fournier: RF-9	L		0	
SUBA	Fuji: FA-200 Aero Subaru 	L		0	
RC70	Fuji: FA-300 	L		0	
KM2	Fuji: KM-2	L		0	
T5	Fuji: KM-2Kai	L		0	
T1	Fuji: T-1 	L		0	
T7	Fuji: T-7	L		0	
NOMA	GAF: Nomad 	L		0	
JP10	GAP: JP100 Kestrel	L		0	
PICO	General Avia: F-15 Delfino	L		0	
PEGA	General Avia: F-20 Pegaso	L		0	
PINO	General Avia: F-22 Pinguino 	L		0	
ARON	General Avia: F-220 Airone	L		0	
F111	General Dynamics: F-111	M		0	
F16	General Dynamics: F-16 Fighting Falcon 	M		0	
GA20	Gippsland: Fatman 	L		0	
GA8	Gippsland: GA-8 Airvan 	L		0	
GC1	Globe: GC-1 Swift 	L		0	
GAUN	Gloster: Gauntlet 	L		0	
GLAD	Gloster: Gladiator 	L		0	
G109	Grob: G-109	L		0	
G115	Grob: G-115 	L		0	
G15T	Grob: G-115T Acro 	L		0	
G120	Grob: G-120	L		0	
G140	Grob: G-140TP	L		0	
G160	Grob: G-160 Ranger	L		0	
GSPN	Grob: G-180 SPn Utility Jet 	L		0	
GF20	Grob: GF-200	L		0	
A6	Grumman: A-6 Intruder 	M		0	
U16	Grumman: Albatross 	M		0	
C2	Grumman: C-2 Greyhound 	M		0	
E2	Grumman: E-2 Hawkeye 	M		0	
F14	Grumman: F-14 Tomcat 	M		0	
F3F	Grumman: F3F Replica 	L		0	
WCAT	Grumman: F4F Wildcat 	L		0	
HCAT	Grumman: F6F Hellcat 	L		0	
TCAT	Grumman: F7F Tigercat 	M		0	
BCAT	Grumman: F8F Bearcat 	L		0	
F9F	Grumman: F9F Panther 	L		0	
GLF2	Grumman: G-1159 Gulfstream 2 	M		0	
G159	Grumman: G-159 Gulfstream 1 	M		0	
G21	Grumman: G-21A Goose 	L		0	
G44	Grumman: G-44 Widgeon 	L		0	
G73	Grumman: G-73 Mallard 	L		0	
G73T	Grumman: G-73T Turbo Mallard 	L		0	
G96	Grumman: G-96 Trader 	M		0	
V1	Grumman: OV-1 Mohawk 	M		0	
S2T	Grumman: S-2 Turbo Tracker 	M		0	
TBM	Grumman: TBF Avenger 	M		0	
GLF3	Gulfstream: G-1159A Gulfstream 3 	M		0	
GLF4	Gulfstream: G-4 Gulfstream 4 	M		0	
GLF5	Gulfstream: G-5 Gulfstream 5 	M		0	
ALH	HAL: Dhruv 	L		0	
HA31	HAL: HA-31 Basant	L		0	
HT16	HAL: HJT-16 Kiran 	L		0	
HT36	HAL: HJT-36 Sitara	L		0	
HT32	HAL: HPT-32 Deepak	L		0	
HT2	HAL: HT-2	L		0	
MG23	HAL: MiG-27 Bahadur 	M		0	
IL28	HAMC / Harbin: H-5 	M		0	
SH5	HAMC / Harbin: SH-5	M		0	
Y11	HAMC / Harbin: Y-11 	L		0	
Y12	HAMC / Harbin: Y-12 	L		0	
MI4	HAMC / Harbin: Z-5 	L		0	
JS1	Handley Page: HP-137 Jetstream 1 	L		0	
JS20	Handley Page: HP-137 Jetstream 200 	L		0	
CYGT	Hawker: Cygnet	L		0	
FURY	Hawker: Fury 	L		0	
HIND	Hawker: Hind 	L		0	
HUNT	Hawker: Hunter 	M		0	
HURI	Hawker: Hurricane 	L		0	
PRM1	Hawker-Beechcraft: 390 Premier 1 	L		0	
HA4T	Hawker-Beechcraft: 4000 Hawker Horizon 	M		0	
TEX2	Hawker-Beechcraft: CT-156 Harvard 2 	L		0	
BUC	Hawker-Siddeley: Buccaneer 	M		0	
COUR	Helio: Courier 	L		0	
STLN	Helio: Stallion 	L		0	
TCOU	Helio: Twin Courier	L		0	
BU81	Heliopolis: Gomhouria 	L		0	
S278	HESA: Shahed 278	L		0	
HF20	HFB: HFB-320 Hansa 	M		0	
H12T	Hiller: UH-12ET 	L		0	
HI27	Hirth: Hi-27 Acrostar 	L		0	
ME09	Hispano: HA-1112 Buchon 	L		0	
HDJT	Honda: HA-420 HondaJet	L		0	
H269	Hughes: 269	L		0	
H500	Hughes: 369	L		0	
PPRO	Hunting Percival: P-56 Provost 	L		0	
PEMB	Hunting Percival: P-66 Pembroke 	L		0	
WW23	IAI: 1123 Westwind 	M		0	
WW24	IAI: 1124 Westwind	M		0	
ASTR	IAI: 1125 Astra 	M		0	
GALX	IAI: 1126 Galaxy 	M		0	
ARVA	IAI: Arava 	L		0	
G150	IAI: Gulfstream G150 	M		0	
KFIR	IAI: Kfir 	M		0	
IR46	IAR: IAR-46	L		0	
YURO	IAR: IAR-93 / J-22 Orao	M		0	
IS28	IAR: IS-28M2	L		0	
I103	Ilyushin: Il-103 	L		0	
I114	Ilyushin: Il-114 	M	C	0	
IL14	Ilyushin: Il-14 	M		0	
IL18	Ilyushin: Il-18 	M		0	
IL38	Ilyushin: Il-38 	M		0	
IL62	Ilyushin: Il-62 	H	D	0	
IL76	Ilyushin: Il-76 	H	D	0	
IL86	Ilyushin: Il-86 	H	D	64	ULD
IL96	Ilyushin: Il-96 	H	E	0	
CH2T	JAI: CH-2000 Sama	L		0	
CH80	JAI: CH-8000 Hawk 1	L		0	
D11	Jodel: D-11 	L		0	
D140	Jodel: D-140 Abeille	L		0	
D150	Jodel: D-150 Mascaret	L		0	
D18	Jodel: D-18	L		0	
K50	KAI: A-50 Golden Eagle 	M		0	
KT1	KAI: KO-1 Woong-Bee	L		0	
H43A	Kaman: HH-43A 	L		0	
H43B	Kaman: HH-43B Huskie 	L		0	
KMAX	Kaman: K-1200 K-Max 	L		0	
H2	Kaman: SH-2 Seasprite 	L		0	
K126	Kamov: Ka-126 	L		0	
K226	Kamov: Ka-226	L		0	
KA25	Kamov: Ka-25 	M		0	
KA26	Kamov: Ka-26 	L		0	
KA27	Kamov: Ka-27 	M		0	
KA50	Kamov: Ka-50	M		0	
KA52	Kamov: Ka-52	M		0	
KA62	Kamov: Ka-60	L		0	
C1	Kawasaki: C-1 	M		0	
KH4	Kawasaki: KH-4 	L		0	
OH1	Kawasaki: OH-1 	L		0	
P3	Kawasaki: P-3 Orion 	M		0	
T4	Kawasaki: T-4 	M		0	
ANST	Kazan: Ansat 	L		0	
A2RT	Kazan: Ansat 2RT 	L		0	
KL35	Klemm: Kl-35 	L		0	
KL25	Klemm: L-25 	L		0	
LA25	Lake Aircraft: LA-250 / LA-270	L		0	
LA4	Lake Aircraft: LA-4 / LA-200 Buccaneer 	L		0	
LJ23	Learjet: 23	L		0	
LJ24	Learjet: 24	L		0	
LJ25	Learjet: 25	L		0	
LJ31	Learjet: 31	M		0	
LJ35	Learjet: 35	M		0	
LJ40	Learjet: 40	M		0	
LJ45	Learjet: 45	M		0	
LJ55	Learjet: 55	M		0	
LJ60	Learjet: 60	M		0	
L18	Learjet: Learstar	M		0	
YK11	LET: C-11 	L		0	
L200	LET: L-200 Morava 	L		0	
L410	LET: L-410 Turbolet 	L		0	
L610	LET: L-610 	M		0	
Z37P	LET: Z-237 Cmel	L		0	
L37	Lockheed: B-34 Lexington 	M		0	
C130	Lockheed: C-130 Hercules 	M	D	0	
C30J	Lockheed: C-130J Hercules 	M		0	
C141	Lockheed: C-141 Starlifter 	H		0	
C5	Lockheed: C-5 Galaxy 	H		0	
CONI	Lockheed: Constellation / Super Constellation	M		0	
F104	Lockheed: F-104 Starfighter 	M		0	
F117	Lockheed: F-117 Nighthawk 	M		0	
F22	Lockheed: F-22 Raptor 	M		0	
F35	Lockheed: F-35 Lightning II	M		0	
VF35	Lockheed: F-35B Lightning II	M		0	
P38	Lockheed: F-5 Lightning 	M		0	
L10	Lockheed: L-10 Electra	L		310	ULD
L101	Lockheed: L-1011 Tristar	H	D	310	ULD
L12	Lockheed: L-12 Electra Junior 	L		0	
L29B	Lockheed: L-1329 Jetstar 2 	M		0	
L29A	Lockheed: L-1329 Jetstar 6 / 8	M		0	
L14	Lockheed: L-14 Hudson 	M		0	
L188	Lockheed: L-188 Electra 	M		0	
P2	Lockheed: P-2 Neptune 	M		0	
S3	Lockheed: S-3 Viking 	M		0	
SR71	Lockheed: SR-71 Blackbird 	M		0	
U2	Lockheed: U-2 	M		0	
L11	Luscombe: 11A Sedan	L		0	
SP18	Luscombe: 11E Spartan 185	L		0	
L8	Luscombe: 50	L		0	
M404	Martin: 404	M		0	
B26M	Martin: B-26 Marauder 	M		0	
MARS	Martin: JRM Mars 	M		0	
BROU	Max Holste: MH-1521 Broussard 	L		0	
N260	Max Holste: MH-260 Super Broussard 	M		0	
B105	MBB: BO-105 	L		0	
MD52	McDonnell Douglas: AH-6J 	L		0	
DC10	McDonnell Douglas: DC-10 	H	D	0	
MD11	McDonnell Douglas: MD-11	H	D	409	ULD
MD60	McDonnell Douglas: MD-600N 	L		0	
MD81	McDonnell Douglas: MD-81	M		0	
MD82	McDonnell Douglas: MD-82	M		133	ULD
MD83	McDonnell Douglas: MD-83	M		169	ULD
MD87	McDonnell Douglas: MD-87	M	C	111	ULD
MD88	McDonnell Douglas: MD-88	M		0	
MD90	McDonnell Douglas: MD-90	M	C	121	ULD
F4	McDonnell: F-4 Phantom 2 	M		0	
EXPL	MD Helicopters: MD-902 Explorer 	L		0	
ME08	Messerschmitt: Bf-108 Taifun 	L		0	
ME62	Messerschmitt: Me-262 Replica 	L		0	
MG44	Mikoyan: MiG 1-44	M		0	
MG19	Mikoyan: MiG-19 	M		0	
MG25	Mikoyan: MiG-25 	M		0	
MG29	Mikoyan: MiG-29 	M		0	
MG31	Mikoyan: MiG-31 	M		0	
MGAT	Mikoyan: MiG-AT 	L		0	
MI10	Mil: Mi-10 	M		0	
MI14	Mil: Mi-14 	M		0	
MI8	Mil: Mi-17 	M		0	
MI2	Mil: Mi-2 	L		0	
MI6	Mil: Mi-22	M		0	
MI24	Mil: Mi-24 	M		0	
MI26	Mil: Mi-26 	M		0	
MI28	Mil: Mi-28 	M		0	
MI34	Mil: Mi-34	L		0	
MI38	Mil: Mi-38	M		0	
WHIT	Miles: M-11 Whitney Straight	L		0	
MAGI	Miles: M-14 Magister 	L		0	
MONA	Miles: M-17 Monarch	L		0	
M2HK	Miles: M-2 Hawk Major 	L		0	
FALM	Miles: M-3 Falcon Major	L		0	
MESS	Miles: M-38 Messenger 	L		0	
GEMI	Miles: M-65 Gemini 	L		0	
ZERO	Mitsubishi: A6M Zero 	L		0	
F1	Mitsubishi: F-1 	M		0	
F2	Mitsubishi: F-2 	M		0	
MH20	Mitsubishi: MH-2000	L		0	
MU2	Mitsubishi: MU-2 	L		0	
MU30	Mitsubishi: MU-300 Diamond 	M		0	
RP1	Mitsubishi: RP-1	L		0	
H60	Mitsubishi: S-70 Seahawk 	M		0	
MT2	Mitsubishi: T-2 	M		0	
M10	Mooney: M-10 Cadet	L		0	
MITE	Mooney: M-18	L		0	
M20P	Mooney: M-20 	L		0	
M20T	Mooney: M-20K 252TSE / M-20M	L		0	
M22	Mooney: M-22 Mustang	L		0	
MSAI	Morane-Saulnier: AI	L		0	
MS23	Morane-Saulnier: MS-230 	L		0	
MS31	Morane-Saulnier: MS-315 	L		0	
MS73	Morane-Saulnier: MS-733 Alcyon 	L		0	
MS76	Morane-Saulnier: MS-760 Paris 	L		0	
RALL	Morane-Saulnier: Rallye 105 	L		0	
CP20	Mudry: CAP-20	L		0	
CP21	Mudry: CAP-21	L		0	
CP23	Mudry: CAP-230	L		0	
M101	Myasishchev: M-101	L		0	
M17	Myasishchev: M-17 Stratosfera 	M		0	
M203	Myasishchev: M-203 Barsuk	L		0	
MYA4	Myasishchev: M-4	H		0	
M55	Myasishchev: M-55 Geophysica 	M		0	
VMT	Myasishchev: VM-T Atlant	H		0	
YS11	NAMC: YS-11	M		0	
Q5	Nanchang: A-5 	M		0	
YK18	Nanchang: CJ-5 	L		0	
CJ6	Nanchang: CJ-6 	L		0	
K8	Nanchang: JL-8 Karakorum 	L		0	
N5	Nanchang: N-5	L		0	
NI28	Nieuport: 28 Replica 	L		0	
NORS	Noorduyn: Norseman 	L		0	
N110	Nord / SNCAN: 1100 Noralpha 	L		0	
N120	Nord / SNCAN: 1200 Norecrin 	L		0	
NORA	Nord / SNCAN: 2501 Noratlas 	M		0	
N320	Nord / SNCAN: 3202	L		0	
N340	Nord / SNCAN: 3400	L		0	
NC85	Nord / SNCAN: NC-854 	L		0	
SV4	Nord / SNCAN: SV-4 	L		0	
LARK	North American Rockwell: 100 Lark Commander 	L		0	
SBR2	North American Rockwell: NA-265 Sabre 75 	M		0	
V10	North American Rockwell: OV-10 Bronco 	L		0	
SBR1	North American Rockwell: Sabreliner 	M		0	
T2	North American Rockwell: T-2 Buckeye 	L		0	
B25	North American: B-25 Mitchell 	M		0	
SSAB	North American: F-100 Super Sabre 	M		0	
P82	North American: F-82 Twin Mustang 	M		0	
NAVI	North American: Navion 	L		0	
T28	North American: T-28 Trojan 	L		0	
YALE	North American: Yale	L		0	
B2	Northrop: B-2 Spirit 	H		0	
C125	Northrop: C-125 Raider 	M		0	
P61	Northrop: P-61 Black Widow 	M		0	
T38	Northrop: T-38 Talon 	L		0	
L40	Orlican: L-40 Meta Sokol 	L		0	
P750	PAC: 750XL 	L		0	
CRES	PAC: Cresco 	L		0	
TOR	Panavia: Tornado 	M		0	
P68T	Partenavia: AP-68TP-300 Spartacus	L		0	
VTOR	Partenavia: AP-68TP-600 Viator	L		0	
P57	Partenavia: P-57 Fachiro 2	L		0	
OSCR	Partenavia: P-64 Oscar 	L		0	
P68	Partenavia: P-68 Observer 	L		0	
PREN	Percival: P-40 Prentice 	L		0	
PRCE	Percival: P-57 Sea Prince 	L		0	
PROC	Percival: Proctor 	L		0	
VGUL	Percival: Vega Gull 	L		0	
P136	Piaggio: P-136 	L		0	
P148	Piaggio: P-148	L		0	
P66P	Piaggio: P-166 	L		0	
P66T	Piaggio: P-166DL3 	L		0	
P180	Piaggio: P-180 Avanti 	L		0	
P808	Piaggio: PD-808 	M		0	
CP75	Piel: B	L		0	
SAPH	Piel: CP-1320 Saphir	L		0	
CP60	Piel: Diamant	L		0	
CP30	Piel: Emeraude 	L		0	
CP90	Piel: Pinocchio	L		0	
CP13	Piel: Super Emeraude (CP-1310/1315/1330)	L		0	
CP32	Piel: Super Emeraude (CP-320/325/328)	L		0	
CP80	Piel: Z	L		0	
PP2	Pilatus: P-2 	L		0	
PP3	Pilatus: P-3 	L		0	
PC12	Pilatus: PC-12	L		0	
PC21	Pilatus: PC-21 	L		0	
PC6P	Pilatus: PC-6 Porter 	L		0	
PC6T	Pilatus: PC-6A/B/C Turbo-Porter 	L		0	
PC9	Pilatus: PC-9 	L		0	
S108	Piper: 108 Station Wagon 	L		0	
J2	Piper: Cub (J-2) 	L		0	
J3	Piper: Cub (J-3/L-4/NE) 	L		0	
J4	Piper: J-4 Cub Coupe 	L		0	
J5	Piper: J-5 Cub Cruiser	L		0	
PA11	Piper: PA-11 Cub Special 	L		0	
PA12	Piper: PA-12 Super Cruiser 	L		0	
PA14	Piper: PA-14 Family Cruiser	L		0	
PA15	Piper: PA-15 Vagabond 	L		0	
PA16	Piper: PA-16 Clipper 	L		0	
PA17	Piper: PA-17 Vagabond 	L		0	
PA18	Piper: PA-18 Super Cub 	L		0	
PA20	Piper: PA-20 Pacer 	L		0	
PA22	Piper: PA-22 Caribbean 	L		0	
PA23	Piper: PA-23 Apache 	L		0	
PA27	Piper: PA-23 Aztec 	L		0	
PA24	Piper: PA-24 Comanche 	L		0	
PA30	Piper: PA-30 Twin Comanche 	L		0	
PAY1	Piper: PA-31T1-500 Cheyenne 1 	L		0	
PAT4	Piper: PA-31T3-500 T-1040 	L		0	
PAY2	Piper: PA-31T-620 Cheyenne 2 	L		0	
P32T	Piper: PA-32RT-300T Turbo Lance 2 	L		0	
PA36	Piper: PA-36 Pawnee Brave 	L		0	
PA38	Piper: PA-38 Tomahawk 	L		0	
PAY4	Piper: PA-42-1000 Cheyenne 400 	L		0	
PA44	Piper: PA-44 Seminole 	L		0	
PA46	Piper: PA-46-310P Malibu 	L		0	
P46T	Piper: PA-46-500TP Malibu Meridian 	L		0	
AEST	Piper: PA-60 Aerostar 	L		0	
PTMS	Pitts / Aviat: S-12 Macho Stinker	L		0	
I153	Polikarpov: I-153 	L		0	
I15B	Polikarpov: I-15bis 	L		0	
I16	Polikarpov: I-16 	L		0	
PO2	Polikarpov: Po-2 	L		0	
PO60	Potez: 60 Sauterelle 	L		0	
ELST	Pützer: Elster 	L		0	
M15	PZL Mielec: M-15 Belphegor 	L		0	
M18	PZL Mielec: M-18 Dromader 	L		0	
M18T	PZL Mielec: M-18 Turbine Dromader 	L		0	
M28	PZL Mielec: M-28 Skytruck	M		0	
TS11	PZL Mielec: TS-11 Iskra 	L		0	
TS8	PZL Mielec: TS-8 Bies 	L		0	
PZ01	PZL Okecie: PZL-101 Gawron 	L		0	
PZ02	PZL Okecie: PZL-102 Kos	L		0	
PZ04	PZL Okecie: PZL-104 Wilga	L		0	
PZ4M	PZL Okecie: PZL-104M Wilga 2000 	L		0	
PZ05	PZL Okecie: PZL-105 Flaming	L		0	
PZ06	PZL Okecie: PZL-106 Kruk 	L		0	
PZ6T	PZL Okecie: PZL-106AT Turbo Kruk 	L		0	
PZ12	PZL Okecie: PZL-112 Koliber Junior	L		0	
PZ26	PZL Okecie: PZL-126 Mr	L		0	
PZ3T	PZL Okecie: PZL-130 Orlik 	L		0	
YK12	PZL Okecie: Yak-12	L		0	
I23	PZL Swidnik: I-23 Manager	L		0	
PSW4	PZL Swidnik: SW-4	L		0	
W3	PZL Swidnik: W-3 Sok	L		0	
P47	Republic: F-47 Thunderbolt 	M		0	
RC3	Republic: RC-3 Seabee 	L		0	
FANT	RFB: Fantrainer 	L		0	
DR10	Robin / Apex: Ambassadeur 	L		0	
D250	Robin / Apex: DR-200 	L		0	
D253	Robin / Apex: DR-253 Regent 	L		0	
HR10	Robin / Apex: HR-100	L		0	
HR20	Robin / Apex: HR-200 	L		0	
R100	Robin / Apex: R-1180 Aiglon	L		0	
R300	Robin / Apex: R-300	L		0	
B1	Rockwell: B-1 Lancer 	H		0	
IR27	ROMBAC: IAR-827 Dacic	L		0	
SE5R	Royal Aircraft Factory: SE-5A Replica 	L		0	
R90F	Ruschmeyer: R-90-230FG 	L		0	
R90R	Ruschmeyer: R-90-230RG 	L		0	
R90T	Ruschmeyer: R-90-420AT 	L		0	
RYST	Ryan: PT-20 	L		0	
PT22	Ryan: PT-22 Recruit 	L		0	
SB05	Saab: 105	L		0	
SB20	Saab: 2000	M	C	0	
SB29	Saab: 29 / J29	M		0	
SB32	Saab: 32 / J32 Lansen 	M		0	
SF34	Saab: 340	M	B	0	
SB35	Saab: 35 / J35 Draken 	M		0	
SB37	Saab: 37 / JA37 Viggen 	M		0	
SB39	Saab: 39 Gripen 	M		0	
SB91	Saab: 91 Safir 	L		0	
MF17	Saab: MFI-15 Safari 	L		0	
S330	Schweizer: 269D 330 	L		0	
SA37	Schweizer: SA-2-37A Condor	L		0	
TPIN	Scottish Aviation: Twin Pioneer 	L		0	
J8A	Shenyang: F-8-1	M		0	
J8B	Shenyang: F-8-2 /-3 /-4	M		0	
SU27	Shenyang: J-11 	M		0	
US1	Shin Meiwa: US-1 	M		0	
SH33	Shorts: 330	M		0	
SH36	Shorts: 360	M		0	
SAND	Shorts: S-25 Sandringham 	M		0	
BELF	Shorts: SC-5 Belfast	M		0	
SC7	Shorts: SC-7 Skyvan	L		0	
FN33	SIAI-Marchetti: FN-333 Riviera 	L		0	
S211	SIAI-Marchetti: M-311 	L		0	
S05F	SIAI-Marchetti: S-205-18F / S-205-20F 	L		0	
S05R	SIAI-Marchetti: S-205-18R / S-205-20R / S-205-22R	L		0	
S208	SIAI-Marchetti: S-208 	L		0	
F26T	SIAI-Marchetti: SF-260TP 	L		0	
F600	SIAI-Marchetti: SF-600 Canguro 	L		0	
SM19	SIAI-Marchetti: SM-1019 	L		0	
S55P	Sikorsky: CH-19 	L		0	
S58P	Sikorsky: CH-34 Chocktaw 	L		0	
H53	Sikorsky: CH-53	M		0	
H53S	Sikorsky: CH-53E Super Stallion 	M		0	
S64	Sikorsky: CH-54 Tarhe 	M		0	
S62	Sikorsky: HH-52 Seaguard 	L		0	
S51	Sikorsky: HO3S 	L		0	
S52	Sikorsky: HO5S 	L		0	
S38	Sikorsky: S-38 Replica 	L		0	
S39	Sikorsky: S-39 	L		0	
S55T	Sikorsky: S-55T 	L		0	
S58T	Sikorsky: S-58T			0	
S76	Sikorsky: S-76			0	
S92	Sikorsky: S-92 Helibus 	M		0	
SJ30	Sino Swearingen: SJ-30 	L		0	
GY80	SOCATA: GY-80 Horizon 	L		0	
MS18	SOCATA: MS-200FG Morane	L		0	
MS25	SOCATA: MS-200RG Morane	L		0	
MS30	SOCATA: MS-300 Epsilon 2	L		0	
ST10	SOCATA: ST-10	L		0	
TAMP	SOCATA: Tampico 	L		0	
TOBA	SOCATA: TB-10 Tobago 	L		0	
TRIN	SOCATA: TB-20 Trinidad 	L		0	
TB31	SOCATA: TB-31 Omega	L		0	
TBM7	SOCATA: TBM-700 	L		0	
TBM8	SOCATA: TBM-850 	L		0	
G2GL	SOKO: G-2 Galeb 	L		0	
G4SG	SOKO: G-4 Super Galeb 	L		0	
KRAG	SOKO: J-20 Kraguj 	L		0	
JAST	SOKO: Jastreb 	L		0	
CAML	Sopwith: Camel 	L		0	
STRI	Sopwith: Triplane Replica	L		0	
RF4	Sportavia-Pützer: RF-4	L		0	
RF5	Sportavia-Pützer: RF-5	L		0	
RS18	Sportavia-Pützer: RS-180 Sportsman 	L		0	
S10	Stinson: 10 Voyager 	L		0	
L5	Stinson: L-5 Sentinel 	L		0	
RELI	Stinson: Reliant 	L		0	
SM60	Stinson: SM-6000 Tri-Motor 	L		0	
TRMA	Stinson: Tri-Motor (A)	L		0	
S37	Suchoi / Sukhoi: S-37 Berkut	M		0	
SU15	Suchoi / Sukhoi: Su-15 	M		0	
SU17	Suchoi / Sukhoi: Su-17 	M		0	
SU24	Suchoi / Sukhoi: Su-24 	M		0	
SU25	Suchoi / Sukhoi: Su-25 	M		0	
SU26	Suchoi / Sukhoi: Su-26 	L		0	
SU29	Suchoi / Sukhoi: Su-29 	L		0	
SU31	Suchoi / Sukhoi: Su-31 	L		0	
SU38	Suchoi / Sukhoi: Su-38	L		0	
SU7	Suchoi / Sukhoi: Su-7 	M		0	
SU80	Suchoi / Sukhoi: Su-80	M		0	
DJIN	Sud: SO-1221 Djinn 	L		0	
VAUT	Sud: SO-4050 Vautour	M		0	
SPIT	Supermarine: Seafire 	L		0	
SASP	Supermarine: Spitfire Mk25 	L		0	
SWIF	Supermarine: Swift 	M		0	
SW2	Swearingen: SA-26 Merlin 2 	L		0	
TA15	Taylorcraft: 15 Foursome	L		0	
TA20	Taylorcraft: 20 Ranchwagon	L		0	
TAYA	Taylorcraft: A	L		0	
PLUS	Taylorcraft: Auster 1 / Plus C / Plus D	L		0	
AUS3	Taylorcraft: Auster 3 	L		0	
AUS4	Taylorcraft: Auster 4 	L		0	
TAYB	Taylorcraft: BC	L		0	
TAYD	Taylorcraft: DC	L		0	
TF21	Taylorcraft: F-21	L		0	
TF22	Taylorcraft: F-22	L		0	
TF19	Taylorcraft: Sportsman (F-19)	L		0	
SL90	Technoavia (Interavia): I-1	L		0	
I3	Technoavia (Interavia): I-3	L		0	
SM20	Technoavia (Interavia): SM-2000	L		0	
Y18T	Technoavia (Interavia): SM-2000P 	L		0	
SM92	Technoavia (Interavia): SM-92 Finist 	L		0	
SG92	Technoavia (Interavia): SM-92T Turbo Finist 	L		0	
SP55	Technoavia (Interavia): SP-55	L		0	
SP91	Technoavia (Interavia): SP-91 Slava 	L		0	
SP95	Technoavia (Interavia): SP-95	L		0	
C160	Transport Allianz: C-160 	M		0	
T134	Tupolev: Tu-134	M	C	74	ULD
TU95	Tupolev: Tu-142 	H		0	
T144	Tupolev: Tu-144 	H		0	
T154	Tupolev: Tu-154	M	D	165	ULD
TU16	Tupolev: Tu-16 	M		0	
T160	Tupolev: Tu-160 	H		0	
T204	Tupolev: Tu-204 / Tu-214	M	D	0	
TU22	Tupolev: Tu-22	M		0	
